id,season,city,date,team1,team2,toss_winner,day_night,toss_decision,result,dl_applied,winner,team1_score,team2_score,team1_wicket_fall,team2_wicket_fall,team1_overs_play,team2_overs_play,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,country
1359485,2023,Guwahati,2023/04/08,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Day/Night,field,normal,0,Rajasthan Royals,199,142,4,9,20/20,20/20,57,0,YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",Navdeep Singh,MV Saidharshan Kumar,KN Ananthapadmanabhan,India
1359484,2023,Lucknow,2023/04/07,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Night,bat,normal,0,Lucknow Super Giants,121,127,8,5,20/20,16/20,0,5,KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",J Madanagopal,YC Barde,BNJ Oxenford,India
1359483,2023,Kolkata,2023/04/06,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Night,field,normal,0,Kolkata Knight Riders,204,123,7,10,20/20,17.4/20,81,0,SN Thakur,"Eden Gardens, Kolkata",Vinod Seshan,VK Sharma,Nitin Menon,India
1359482,2023,Guwahati,2023/04/05,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Night,field,normal,0,Punjab Kings,197,192,4,7,20/20,20/20,5,0,NT Ellis,"Barsapara Cricket Stadium, Guwahati",KN Ananthapadmanabhan,MV Saidharshan Kumar,R Pandit,India
1359481,2023,Delhi,2023/04/04,Delhi Capitals,Gujarat Titans,Gujarat Titans,Night,field,normal,0,Gujarat Titans,162,163,8,4,20/20,18.1/20,0,6,B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",A Nand Kishore,GR Sadashiv Iyer,AK Chaudhary,India
1359480,2023,Chennai,2023/04/03,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Night,field,normal,0,Chennai Super Kings,217,205,7,7,20/20,20/20,12,0,MM Ali,"MA Chidambaram Stadium, Chepauk, Chennai",A Totre,BNJ Oxenford,UV Gandhe,India
1359478,2023,Hyderabad,2023/04/02,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Day/Night,field,normal,0,Rajasthan Royals,203,131,5,8,20/20,20/20,72,0,JC Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,R Pandit,Navdeep Singh,India
1359479,2023,Bengaluru,2023/04/02,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Night,field,normal,0,Royal Challengers Bangalore,171,172,7,2,20/20,16.2,0,8,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,Tapan Sharma,VK Sharma,India
1359477,2023,Lucknow,2023/04/01,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Night,field,normal,0,Lucknow Super Giants,193,143,6,9,20/20,20/20,50,0,MA Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,NA Patwardhan,GR Sadashiv Iyer,India
1359476,2023,Chandigarh,2023/04/01,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Day/Night,field,D/L,1,Punjab Kings,191,146,5,7,20/20,16/16,7,0,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",BNJ Oxenford,YC Barde,J Madanagopal,India
